antecedent,consequent,support,confidence,lift
['19'],"['34', '30']",0.21,0.4,1.08
"['34', '30']",['19'],0.21,0.58,1.08
"['34', '19']",['30'],0.21,0.6,1.06
"['30', '19']",['34'],0.21,0.68,1.06
['18'],"['14', '19']",0.31,0.43,1.09
['14'],"['18', '19']",0.31,0.43,1.07
['19'],"['18', '14']",0.31,0.57,1.07
"['18', '14']",['19'],0.31,0.58,1.07
"['18', '19']",['14'],0.31,0.76,1.07
"['14', '19']",['18'],0.31,0.77,1.09
['18'],"['30', '19']",0.24,0.34,1.06
['30'],"['18', '19']",0.24,0.42,1.05
['19'],"['18', '30']",0.24,0.44,1.11
"['18', '30']",['19'],0.24,0.6,1.11
"['18', '19']",['30'],0.24,0.59,1.05
"['30', '19']",['18'],0.24,0.75,1.06
['14'],"['30', '19']",0.24,0.34,1.06
['30'],"['14', '19']",0.24,0.43,1.07
['19'],"['14', '30']",0.24,0.45,1.06
"['14', '30']",['19'],0.24,0.57,1.06
"['14', '19']",['30'],0.24,0.6,1.07
"['30', '19']",['14'],0.24,0.76,1.06
['34'],"['18', '14', '19']",0.22,0.34,1.1
['18'],"['34', '14', '19']",0.22,0.31,1.11
['14'],"['34', '18', '19']",0.22,0.3,1.1
['19'],"['34', '18', '14']",0.22,0.4,1.11
"['34', '18']","['14', '19']",0.22,0.46,1.16
"['34', '14']","['18', '19']",0.22,0.45,1.13
"['34', '19']","['18', '14']",0.22,0.6,1.13
"['18', '14']","['34', '19']",0.22,0.41,1.13
"['18', '19']","['34', '14']",0.22,0.54,1.13
"['14', '19']","['34', '18']",0.22,0.54,1.16
"['34', '18', '14']",['19'],0.22,0.6,1.11
"['34', '18', '19']",['14'],0.22,0.79,1.1
"['34', '14', '19']",['18'],0.22,0.78,1.11
"['18', '14', '19']",['34'],0.22,0.7,1.1
['19'],"['34', '18', '30']",0.17,0.31,1.14
"['34', '18']","['30', '19']",0.17,0.36,1.12
"['34', '30']","['18', '19']",0.17,0.45,1.13
"['34', '19']","['18', '30']",0.17,0.46,1.16
"['18', '30']","['34', '19']",0.17,0.42,1.16
"['18', '19']","['34', '30']",0.17,0.41,1.13
"['30', '19']","['34', '18']",0.17,0.52,1.12
"['34', '18', '30']",['19'],0.17,0.62,1.14
"['34', '18', '19']",['30'],0.17,0.61,1.07
"['34', '30', '19']",['18'],0.17,0.77,1.1
"['18', '30', '19']",['34'],0.17,0.7,1.09
['19'],"['34', '14', '30']",0.17,0.31,1.1
"['34', '14']","['30', '19']",0.17,0.35,1.12
"['34', '30']","['14', '19']",0.17,0.46,1.14
"['34', '19']","['14', '30']",0.17,0.47,1.11
"['14', '30']","['34', '19']",0.17,0.4,1.11
"['14', '19']","['34', '30']",0.17,0.42,1.14
"['30', '19']","['34', '14']",0.17,0.53,1.12
"['34', '14', '30']",['19'],0.17,0.59,1.1
"['34', '14', '19']",['30'],0.17,0.61,1.08
"['34', '30', '19']",['14'],0.17,0.78,1.09
"['14', '30', '19']",['34'],0.17,0.7,1.09
['30'],"['18', '14', '19']",0.19,0.33,1.08
['19'],"['18', '14', '30']",0.19,0.35,1.11
"['18', '14']","['30', '19']",0.19,0.35,1.12
"['18', '30']","['14', '19']",0.19,0.47,1.18
"['18', '19']","['14', '30']",0.19,0.47,1.11
"['14', '30']","['18', '19']",0.19,0.44,1.11
"['14', '19']","['18', '30']",0.19,0.47,1.18
"['30', '19']","['18', '14']",0.19,0.59,1.12
"['18', '14', '30']",['19'],0.19,0.6,1.11
"['18', '14', '19']",['30'],0.19,0.61,1.08
"['18', '30', '19']",['14'],0.19,0.79,1.1
"['14', '30', '19']",['18'],0.19,0.77,1.1
"['18', '30']","['34', '14', '19']",0.13,0.34,1.22
"['18', '19']","['34', '14', '30']",0.13,0.33,1.18
"['34', '30']","['18', '14', '19']",0.13,0.36,1.19
"['34', '19']","['18', '14', '30']",0.13,0.37,1.2
"['14', '30']","['34', '18', '19']",0.13,0.32,1.16
"['30', '19']","['34', '18', '14']",0.13,0.42,1.17
"['14', '19']","['34', '18', '30']",0.13,0.33,1.24
"['34', '18', '30']","['14', '19']",0.13,0.5,1.24
"['34', '18', '14']","['30', '19']",0.13,0.37,1.17
"['34', '18', '19']","['14', '30']",0.13,0.49,1.16
"['18', '14', '30']","['34', '19']",0.13,0.43,1.2
"['18', '30', '19']","['34', '14']",0.13,0.56,1.19
"['18', '14', '19']","['34', '30']",0.13,0.44,1.19
"['34', '14', '30']","['18', '19']",0.13,0.47,1.18
"['34', '30', '19']","['18', '14']",0.13,0.62,1.18
"['34', '14', '19']","['18', '30']",0.13,0.49,1.22
"['14', '30', '19']","['34', '18']",0.13,0.55,1.19
"['34', '18', '14', '30']",['19'],0.13,0.62,1.15
"['34', '18', '30', '19']",['14'],0.13,0.8,1.12
"['34', '18', '14', '19']",['30'],0.13,0.62,1.1
"['18', '14', '30', '19']",['34'],0.13,0.72,1.12
"['34', '14', '30', '19']",['18'],0.13,0.8,1.13
['6'],['18'],0.38,0.72,1.03
['18'],['6'],0.38,0.54,1.03
['6'],['34'],0.35,0.67,1.04
['34'],['6'],0.35,0.55,1.04
['6'],['30'],0.31,0.58,1.03
['30'],['6'],0.31,0.54,1.03
['6'],['14'],0.39,0.73,1.03
['14'],['6'],0.39,0.54,1.03
['6'],['19'],0.3,0.57,1.05
['19'],['6'],0.3,0.55,1.05
['6'],"['34', '18']",0.26,0.5,1.06
['34'],"['6', '18']",0.26,0.41,1.07
['18'],"['6', '34']",0.26,0.37,1.05
"['6', '34']",['18'],0.26,0.74,1.05
"['6', '18']",['34'],0.26,0.69,1.07
"['34', '18']",['6'],0.26,0.56,1.06
['6'],"['18', '30']",0.22,0.42,1.06
['18'],"['6', '30']",0.22,0.31,1.02
['30'],"['6', '18']",0.22,0.39,1.03
"['6', '18']",['30'],0.22,0.58,1.03
"['6', '30']",['18'],0.22,0.72,1.02
"['18', '30']",['6'],0.22,0.56,1.06
['6'],"['18', '14']",0.29,0.55,1.04
['18'],"['6', '14']",0.29,0.41,1.06
['14'],"['6', '18']",0.29,0.4,1.06
"['6', '18']",['14'],0.29,0.76,1.06
"['6', '14']",['18'],0.29,0.75,1.06
"['18', '14']",['6'],0.29,0.55,1.04
['6'],"['18', '19']",0.22,0.42,1.05
['18'],"['6', '19']",0.22,0.31,1.06
['19'],"['6', '18']",0.22,0.41,1.08
"['6', '18']",['19'],0.22,0.58,1.08
"['6', '19']",['18'],0.22,0.74,1.06
"['18', '19']",['6'],0.22,0.56,1.05
['6'],"['34', '30']",0.21,0.39,1.07
['34'],"['6', '30']",0.21,0.32,1.06
['30'],"['6', '34']",0.21,0.37,1.05
"['6', '34']",['30'],0.21,0.59,1.05
"['6', '30']",['34'],0.21,0.68,1.06
"['34', '30']",['6'],0.21,0.56,1.07
['6'],"['34', '14']",0.27,0.5,1.06
['34'],"['6', '14']",0.27,0.41,1.07
['14'],"['6', '34']",0.27,0.37,1.05
"['6', '34']",['14'],0.27,0.75,1.05
"['6', '14']",['34'],0.27,0.68,1.07
"['34', '14']",['6'],0.27,0.56,1.06
['6'],"['34', '19']",0.2,0.39,1.08
['34'],"['6', '19']",0.2,0.32,1.07
['19'],"['6', '34']",0.2,0.38,1.07
"['6', '34']",['19'],0.2,0.58,1.07
"['6', '19']",['34'],0.2,0.68,1.07
"['34', '19']",['6'],0.2,0.57,1.08
['6'],"['14', '30']",0.23,0.44,1.06
['14'],"['6', '30']",0.23,0.33,1.07
['30'],"['6', '14']",0.23,0.42,1.07
"['6', '14']",['30'],0.23,0.6,1.07
"['6', '30']",['14'],0.23,0.76,1.07
"['14', '30']",['6'],0.23,0.56,1.06
['6'],"['30', '19']",0.18,0.34,1.07
['30'],"['6', '19']",0.18,0.32,1.06
['19'],"['6', '30']",0.18,0.33,1.08
"['6', '30']",['19'],0.18,0.58,1.08
"['6', '19']",['30'],0.18,0.6,1.06
"['30', '19']",['6'],0.18,0.57,1.07
['6'],"['14', '19']",0.22,0.42,1.05
['14'],"['6', '19']",0.22,0.31,1.03
['19'],"['6', '14']",0.22,0.41,1.05
"['6', '14']",['19'],0.22,0.57,1.05
"['6', '19']",['14'],0.22,0.74,1.03
"['14', '19']",['6'],0.22,0.55,1.05
"['6', '34']","['18', '30']",0.15,0.44,1.11
"['6', '18']","['34', '30']",0.15,0.4,1.1
"['6', '30']","['34', '18']",0.15,0.5,1.08
"['34', '18']","['6', '30']",0.15,0.33,1.08
"['34', '30']","['6', '18']",0.15,0.42,1.1
"['18', '30']","['6', '34']",0.15,0.39,1.11
"['6', '34', '18']",['30'],0.15,0.59,1.05
"['6', '34', '30']",['18'],0.15,0.74,1.05
"['6', '18', '30']",['34'],0.15,0.7,1.09
"['34', '18', '30']",['6'],0.15,0.57,1.09
['6'],"['34', '18', '14']",0.2,0.38,1.06
['34'],"['6', '18', '14']",0.2,0.32,1.09
"['6', '34']","['18', '14']",0.2,0.57,1.09
"['6', '18']","['34', '14']",0.2,0.53,1.12
"['6', '14']","['34', '18']",0.2,0.52,1.12
"['34', '18']","['6', '14']",0.2,0.43,1.12
"['34', '14']","['6', '18']",0.2,0.43,1.12
"['18', '14']","['6', '34']",0.2,0.38,1.09
"['6', '34', '18']",['14'],0.2,0.77,1.08
"['6', '34', '14']",['18'],0.2,0.76,1.08
"['6', '18', '14']",['34'],0.2,0.7,1.09
"['34', '18', '14']",['6'],0.2,0.56,1.06
"['6', '34']","['18', '19']",0.16,0.44,1.1
"['6', '18']","['34', '19']",0.16,0.41,1.13
"['6', '19']","['34', '18']",0.16,0.52,1.12
"['34', '18']","['6', '19']",0.16,0.33,1.12
"['34', '19']","['6', '18']",0.16,0.43,1.13
"['18', '19']","['6', '34']",0.16,0.39,1.1
"['6', '34', '18']",['19'],0.16,0.59,1.1
"['6', '34', '19']",['18'],0.16,0.76,1.08
"['6', '18', '19']",['34'],0.16,0.7,1.09
"['34', '18', '19']",['6'],0.16,0.57,1.07
['6'],"['18', '14', '30']",0.17,0.33,1.07
['30'],"['6', '18', '14']",0.17,0.31,1.07
"['6', '18']","['14', '30']",0.17,0.46,1.08
"['6', '14']","['18', '30']",0.17,0.45,1.13
"['6', '30']","['18', '14']",0.17,0.57,1.08
"['18', '14']","['6', '30']",0.17,0.33,1.08
"['18', '30']","['6', '14']",0.17,0.44,1.13
"['14', '30']","['6', '18']",0.17,0.41,1.08
"['6', '18', '14']",['30'],0.17,0.6,1.07
"['6', '18', '30']",['14'],0.17,0.79,1.1
"['6', '14', '30']",['18'],0.17,0.74,1.05
"['18', '14', '30']",['6'],0.17,0.56,1.07
"['6', '18']","['30', '19']",0.13,0.35,1.1
"['6', '30']","['18', '19']",0.13,0.43,1.08
"['6', '19']","['18', '30']",0.13,0.45,1.12
"['18', '30']","['6', '19']",0.13,0.33,1.12
"['18', '19']","['6', '30']",0.13,0.33,1.08
"['30', '19']","['6', '18']",0.13,0.42,1.1
"['6', '18', '30']",['19'],0.13,0.6,1.11
"['6', '18', '19']",['30'],0.13,0.6,1.06
"['6', '30', '19']",['18'],0.13,0.74,1.05
"['18', '30', '19']",['6'],0.13,0.56,1.06
['6'],"['18', '14', '19']",0.17,0.32,1.06
['19'],"['6', '18', '14']",0.17,0.32,1.09
"['6', '18']","['14', '19']",0.17,0.45,1.12
"['6', '14']","['18', '19']",0.17,0.44,1.1
"['6', '19']","['18', '14']",0.17,0.57,1.09
"['18', '14']","['6', '19']",0.17,0.32,1.09
"['18', '19']","['6', '14']",0.17,0.43,1.1
"['14', '19']","['6', '18']",0.17,0.43,1.12
"['6', '18', '14']",['19'],0.17,0.59,1.09
"['6', '18', '19']",['14'],0.17,0.77,1.07
"['6', '14', '19']",['18'],0.17,0.77,1.1
"['18', '14', '19']",['6'],0.17,0.56,1.06
['6'],"['34', '14', '30']",0.16,0.31,1.09
"['6', '34']","['14', '30']",0.16,0.46,1.09
"['6', '14']","['34', '30']",0.16,0.42,1.13
"['6', '30']","['34', '14']",0.16,0.53,1.11
"['34', '14']","['6', '30']",0.16,0.34,1.11
"['34', '30']","['6', '14']",0.16,0.44,1.13
"['14', '30']","['6', '34']",0.16,0.38,1.09
"['6', '34', '14']",['30'],0.16,0.61,1.08
"['6', '34', '30']",['14'],0.16,0.78,1.09
"['6', '14', '30']",['34'],0.16,0.69,1.08
"['34', '14', '30']",['6'],0.16,0.57,1.09
"['6', '34']","['30', '19']",0.12,0.35,1.11
"['6', '30']","['34', '19']",0.12,0.4,1.12
"['6', '19']","['34', '30']",0.12,0.41,1.12
"['34', '30']","['6', '19']",0.12,0.34,1.12
"['34', '19']","['6', '30']",0.12,0.34,1.12
"['30', '19']","['6', '34']",0.12,0.39,1.11
"['6', '34', '30']",['19'],0.12,0.59,1.1
"['6', '34', '19']",['30'],0.12,0.6,1.07
"['6', '30', '19']",['34'],0.12,0.69,1.08
"['34', '30', '19']",['6'],0.12,0.58,1.09
"['6', '34']","['14', '19']",0.15,0.44,1.1
"['6', '14']","['34', '19']",0.15,0.4,1.11
"['6', '19']","['34', '14']",0.15,0.52,1.09
"['34', '14']","['6', '19']",0.15,0.32,1.09
"['34', '19']","['6', '14']",0.15,0.43,1.11
"['14', '19']","['6', '34']",0.15,0.39,1.1
"['6', '34', '14']",['19'],0.15,0.58,1.08
"['6', '34', '19']",['14'],0.15,0.75,1.05
"['6', '14', '19']",['34'],0.15,0.7,1.09
"['34', '14', '19']",['6'],0.15,0.56,1.06
"['6', '14']","['30', '19']",0.14,0.35,1.11
"['6', '30']","['14', '19']",0.14,0.44,1.11
"['6', '19']","['14', '30']",0.14,0.46,1.08
"['14', '30']","['6', '19']",0.14,0.32,1.08
"['14', '19']","['6', '30']",0.14,0.34,1.11
"['30', '19']","['6', '14']",0.14,0.43,1.11
"['6', '14', '30']",['19'],0.14,0.58,1.07
"['6', '14', '19']",['30'],0.14,0.62,1.09
"['6', '30', '19']",['14'],0.14,0.76,1.06
"['14', '30', '19']",['6'],0.14,0.56,1.07
"['18', '30']","['6', '34', '14']",0.12,0.31,1.16
"['6', '18']","['34', '14', '30']",0.12,0.32,1.14
"['34', '30']","['6', '18', '14']",0.12,0.33,1.15
"['6', '34']","['18', '14', '30']",0.12,0.35,1.12
"['6', '30']","['34', '18', '14']",0.12,0.4,1.11
"['6', '14']","['34', '18', '30']",0.12,0.32,1.17
"['34', '18', '30']","['6', '14']",0.12,0.45,1.17
"['6', '34', '18']","['14', '30']",0.12,0.47,1.11
"['34', '18', '14']","['6', '30']",0.12,0.34,1.11
"['6', '18', '30']","['34', '14']",0.12,0.55,1.16
"['18', '14', '30']","['6', '34']",0.12,0.4,1.12
"['6', '18', '14']","['34', '30']",0.12,0.42,1.15
"['6', '34', '30']","['18', '14']",0.12,0.59,1.12
"['34', '14', '30']","['6', '18']",0.12,0.43,1.14
"['6', '34', '14']","['18', '30']",0.12,0.46,1.16
"['6', '14', '30']","['34', '18']",0.12,0.52,1.12
"['6', '34', '18', '30']",['14'],0.12,0.79,1.11
"['34', '18', '14', '30']",['6'],0.12,0.57,1.08
"['6', '34', '18', '14']",['30'],0.12,0.61,1.08
"['6', '18', '14', '30']",['34'],0.12,0.7,1.1
"['6', '34', '14', '30']",['18'],0.12,0.76,1.07
"['6', '18']","['34', '14', '19']",0.12,0.32,1.15
"['18', '19']","['6', '34', '14']",0.12,0.3,1.14
"['6', '34']","['18', '14', '19']",0.12,0.34,1.12
"['34', '19']","['6', '18', '14']",0.12,0.34,1.16
"['6', '14']","['34', '18', '19']",0.12,0.31,1.14
"['6', '19']","['34', '18', '14']",0.12,0.4,1.12
"['14', '19']","['6', '34', '18']",0.12,0.3,1.15
"['6', '34', '18']","['14', '19']",0.12,0.46,1.15
"['34', '18', '14']","['6', '19']",0.12,0.34,1.12
"['34', '18', '19']","['6', '14']",0.12,0.44,1.14
"['6', '18', '14']","['34', '19']",0.12,0.42,1.16
"['6', '18', '19']","['34', '14']",0.12,0.54,1.15
"['18', '14', '19']","['6', '34']",0.12,0.4,1.12
"['6', '34', '14']","['18', '19']",0.12,0.46,1.14
"['6', '34', '19']","['18', '14']",0.12,0.59,1.12
"['34', '14', '19']","['6', '18']",0.12,0.44,1.15
"['6', '14', '19']","['34', '18']",0.12,0.55,1.17
"['6', '34', '18', '14']",['19'],0.12,0.6,1.11
"['6', '34', '18', '19']",['14'],0.12,0.78,1.09
"['34', '18', '14', '19']",['6'],0.12,0.56,1.06
"['6', '18', '14', '19']",['34'],0.12,0.71,1.1
"['6', '34', '14', '19']",['18'],0.12,0.78,1.11
"['6', '30']","['18', '14', '19']",0.11,0.34,1.12
"['30', '19']","['6', '18', '14']",0.11,0.33,1.15
"['6', '19']","['18', '14', '30']",0.11,0.35,1.14
"['6', '18', '30']","['14', '19']",0.11,0.47,1.19
"['18', '14', '30']","['6', '19']",0.11,0.34,1.14
"['18', '30', '19']","['6', '14']",0.11,0.44,1.14
"['6', '18', '14']","['30', '19']",0.11,0.36,1.15
"['6', '18', '19']","['14', '30']",0.11,0.47,1.12
"['18', '14', '19']","['6', '30']",0.11,0.34,1.12
"['6', '14', '30']","['18', '19']",0.11,0.45,1.12
"['6', '30', '19']","['18', '14']",0.11,0.59,1.11
"['14', '30', '19']","['6', '18']",0.11,0.44,1.14
"['6', '14', '19']","['18', '30']",0.11,0.48,1.2
"['6', '18', '14', '30']",['19'],0.11,0.6,1.12
"['6', '18', '30', '19']",['14'],0.11,0.79,1.1
"['18', '14', '30', '19']",['6'],0.11,0.56,1.07
"['6', '18', '14', '19']",['30'],0.11,0.62,1.09
"['6', '14', '30', '19']",['18'],0.11,0.77,1.1
['1'],['18'],0.39,0.74,1.06
['18'],['1'],0.39,0.55,1.06
['1'],['34'],0.35,0.68,1.06
['34'],['1'],0.35,0.55,1.06
['1'],['30'],0.31,0.6,1.06
['30'],['1'],0.31,0.55,1.06
['6'],['1'],0.28,0.54,1.04
['1'],['6'],0.28,0.55,1.04
['1'],['14'],0.38,0.73,1.03
['14'],['1'],0.38,0.53,1.03
['1'],['19'],0.29,0.55,1.03
['19'],['1'],0.29,0.53,1.03
['1'],"['34', '18']",0.27,0.52,1.12
['34'],"['1', '18']",0.27,0.42,1.09
['18'],"['1', '34']",0.27,0.38,1.09
"['1', '34']",['18'],0.27,0.77,1.09
"['1', '18']",['34'],0.27,0.7,1.09
"['34', '18']",['1'],0.27,0.58,1.12
['1'],"['18', '30']",0.22,0.43,1.09
['18'],"['1', '30']",0.22,0.32,1.03
['30'],"['1', '18']",0.22,0.4,1.03
"['1', '18']",['30'],0.22,0.58,1.03
"['1', '30']",['18'],0.22,0.73,1.03
"['18', '30']",['1'],0.22,0.57,1.09
['6'],"['1', '18']",0.22,0.41,1.07
['1'],"['6', '18']",0.22,0.42,1.1
['18'],"['6', '1']",0.22,0.31,1.09
"['6', '1']",['18'],0.22,0.77,1.09
"['6', '18']",['1'],0.22,0.57,1.1
"['1', '18']",['6'],0.22,0.56,1.07
['1'],"['18', '14']",0.29,0.56,1.07
['18'],"['1', '14']",0.29,0.42,1.09
['14'],"['1', '18']",0.29,0.41,1.05
"['1', '18']",['14'],0.29,0.76,1.05
"['1', '14']",['18'],0.29,0.77,1.09
"['18', '14']",['1'],0.29,0.56,1.07
['1'],"['18', '19']",0.22,0.43,1.07
['18'],"['1', '19']",0.22,0.32,1.1
['19'],"['1', '18']",0.22,0.41,1.07
"['1', '18']",['19'],0.22,0.58,1.07
"['1', '19']",['18'],0.22,0.77,1.1
"['18', '19']",['1'],0.22,0.56,1.07
['1'],"['34', '30']",0.21,0.41,1.12
['34'],"['1', '30']",0.21,0.33,1.08
['30'],"['1', '34']",0.21,0.38,1.08
"['1', '34']",['30'],0.21,0.61,1.08
"['1', '30']",['34'],0.21,0.69,1.08
"['34', '30']",['1'],0.21,0.58,1.12
['6'],"['1', '34']",0.2,0.38,1.08
['1'],"['6', '34']",0.2,0.39,1.1
['34'],"['6', '1']",0.2,0.31,1.1
"['6', '1']",['34'],0.2,0.71,1.1
"['6', '34']",['1'],0.2,0.57,1.1
"['1', '34']",['6'],0.2,0.57,1.08
['1'],"['34', '14']",0.27,0.51,1.08
['34'],"['1', '14']",0.27,0.41,1.09
['14'],"['1', '34']",0.27,0.37,1.05
"['1', '34']",['14'],0.27,0.75,1.05
"['1', '14']",['34'],0.27,0.7,1.09
"['34', '14']",['1'],0.27,0.56,1.08
['1'],"['34', '19']",0.2,0.39,1.09
['34'],"['1', '19']",0.2,0.32,1.1
['19'],"['1', '34']",0.2,0.38,1.07
"['1', '34']",['19'],0.2,0.58,1.07
"['1', '19']",['34'],0.2,0.7,1.1
"['34', '19']",['1'],0.2,0.56,1.09
['6'],"['1', '30']",0.17,0.33,1.07
['1'],"['6', '30']",0.17,0.34,1.09
['30'],"['6', '1']",0.17,0.31,1.09
"['6', '1']",['30'],0.17,0.61,1.09
"['6', '30']",['1'],0.17,0.57,1.09
"['1', '30']",['6'],0.17,0.56,1.07
['1'],"['14', '30']",0.24,0.46,1.09
['14'],"['1', '30']",0.24,0.33,1.08
['30'],"['1', '14']",0.24,0.42,1.11
"['1', '14']",['30'],0.24,0.63,1.11
"['1', '30']",['14'],0.24,0.77,1.08
"['14', '30']",['1'],0.24,0.57,1.09
['1'],"['30', '19']",0.18,0.34,1.08
['30'],"['1', '19']",0.18,0.31,1.09
['19'],"['1', '30']",0.18,0.33,1.06
"['1', '30']",['19'],0.18,0.57,1.06
"['1', '19']",['30'],0.18,0.61,1.09
"['30', '19']",['1'],0.18,0.56,1.08
['6'],"['1', '14']",0.21,0.41,1.06
['1'],"['6', '14']",0.21,0.41,1.06
"['6', '1']",['14'],0.21,0.75,1.05
"['6', '14']",['1'],0.21,0.55,1.06
"['1', '14']",['6'],0.21,0.56,1.06
['6'],"['1', '19']",0.17,0.32,1.1
['1'],"['6', '19']",0.17,0.32,1.08
['19'],"['6', '1']",0.17,0.31,1.09
"['6', '1']",['19'],0.17,0.59,1.09
"['6', '19']",['1'],0.17,0.56,1.08
"['1', '19']",['6'],0.17,0.58,1.1
['1'],"['14', '19']",0.22,0.42,1.06
['14'],"['1', '19']",0.22,0.31,1.06
['19'],"['1', '14']",0.22,0.41,1.07
"['1', '14']",['19'],0.22,0.58,1.07
"['1', '19']",['14'],0.22,0.76,1.06
"['14', '19']",['1'],0.22,0.55,1.06
['1'],"['34', '18', '30']",0.16,0.31,1.15
"['1', '34']","['18', '30']",0.16,0.46,1.16
"['1', '18']","['34', '30']",0.16,0.42,1.14
"['1', '30']","['34', '18']",0.16,0.52,1.12
"['34', '18']","['1', '30']",0.16,0.35,1.12
"['34', '30']","['1', '18']",0.16,0.44,1.14
"['18', '30']","['1', '34']",0.16,0.41,1.16
"['1', '34', '18']",['30'],0.16,0.6,1.06
"['1', '34', '30']",['18'],0.16,0.76,1.07
"['1', '18', '30']",['34'],0.16,0.72,1.12
"['34', '18', '30']",['1'],0.16,0.6,1.15
"['6', '1']","['34', '18']",0.16,0.55,1.18
"['6', '34']","['1', '18']",0.16,0.44,1.14
"['6', '18']","['1', '34']",0.16,0.41,1.16
"['1', '34']","['6', '18']",0.16,0.44,1.16
"['1', '18']","['6', '34']",0.16,0.4,1.14
"['34', '18']","['6', '1']",0.16,0.33,1.18
"['6', '34', '1']",['18'],0.16,0.77,1.1
"['6', '18', '1']",['34'],0.16,0.72,1.12
"['6', '34', '18']",['1'],0.16,0.59,1.14
"['1', '34', '18']",['6'],0.16,0.58,1.09
['1'],"['34', '18', '14']",0.21,0.41,1.12
['34'],"['1', '18', '14']",0.21,0.33,1.12
"['1', '34']","['18', '14']",0.21,0.6,1.13
"['1', '18']","['34', '14']",0.21,0.54,1.15
"['1', '14']","['34', '18']",0.21,0.55,1.18
"['34', '18']","['1', '14']",0.21,0.45,1.18
"['34', '14']","['1', '18']",0.21,0.44,1.15
"['18', '14']","['1', '34']",0.21,0.4,1.13
"['1', '34', '18']",['14'],0.21,0.78,1.09
"['1', '34', '14']",['18'],0.21,0.79,1.12
"['1', '18', '14']",['34'],0.21,0.72,1.12
"['34', '18', '14']",['1'],0.21,0.58,1.12
['1'],"['34', '18', '19']",0.16,0.31,1.13
"['1', '34']","['18', '19']",0.16,0.46,1.14
"['1', '18']","['34', '19']",0.16,0.41,1.15
"['1', '19']","['34', '18']",0.16,0.56,1.19
"['34', '18']","['1', '19']",0.16,0.34,1.19
"['34', '19']","['1', '18']",0.16,0.45,1.15
